Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd11,Time At Port,In Transit Port Calls,Vessel Type - Detailed,Commercial Market
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-17 14:49 UTC,1h 39m,Not in Transit,Tug,SUPPORTING VESSELS
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-17 13:54 UTC,24m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
JAMIE RENEA,DEPARTURE,Port,LOS ANGELES,2021-11-17 13:07 UTC,1h 43m,Not in Transit,Tug,SUPPORTING VESSELS
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-17 13:06 UTC,9m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
ROBYN J,DEPARTURE,Port,LOS ANGELES,2021-11-17 07:36 UTC,1h 9m,Not in Transit,Other Special Craft,OTHER MARKETS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-17 05:32 UTC,1h 58m,Not in Transit,Other Special Craft,OTHER MARKETS
BARBARA J MULHOLLAND,DEPARTURE,Port,LOS ANGELES,2021-11-17 03:00 UTC,3h 40m,Not in Transit,Tug,SUPPORTING VESSELS
MILLENNIUM MAVERICK,DEPARTURE,Port,LOS ANGELES,2021-11-17 02:59 UTC,3h 40m,Not in Transit,Tug,SUPPORTING VESSELS
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-17 02:56 UTC,44m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-17 02:41 UTC,59m,Not in Transit,Other Special Craft,OTHER MARKETS
RICH PADDEN,DEPARTURE,Port,LOS ANGELES,2021-11-17 02:10 UTC,2h 26m,Not in Transit,Other Special Craft,OTHER MARKETS
BO BRUSCO,DEPARTURE,Port,LOS ANGELES,2021-11-17 02:07 UTC,1h 36m,Not in Transit,Other Special Craft,OTHER MARKETS
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-17 02:07 UTC,2h 42m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-17 00:47 UTC,2h 14m,Not in Transit,Other Special Craft,OTHER MARKETS
CHRISTY S,DEPARTURE,Port,LOS ANGELES,2021-11-17 00:37 UTC,1h ,Not in Transit,Other Passenger,PASSENGER SHIPS
ADMIRAL,DEPARTURE,Port,LOS ANGELES,2021-11-17 22:11 UTC,5h 37m,Not in Transit,Tug,SUPPORTING VESSELS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-17 21:54 UTC,8h 12m,Not in Transit,Tug,SUPPORTING VESSELS
DELTA AUDREY,DEPARTURE,Port,LOS ANGELES,2021-11-17 21:34 UTC,7h 13m,Not in Transit,Tug,SUPPORTING VESSELS
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-17 21:01 UTC,6h 29m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
LEADER,DEPARTURE,Port,LOS ANGELES,2021-11-17 20:47 UTC,6h 23m,Not in Transit,Tug,SUPPORTING VESSELS
ROYAL MELBOURNE,DEPARTURE,Port,LOS ANGELES,2021-11-17 16:08 UTC,7h 54m,Not in Transit,Other Special Craft,OTHER MARKETS
PETER MAC,DEPARTURE,Port,LOS ANGELES,2021-11-17 13:20 UTC,13h 29m,Not in Transit,Crew Boat,SUPPORTING VESSELS
NICHOLAS L,DEPARTURE,Port,LOS ANGELES,2021-11-17 13:12 UTC,10h 49m,Not in Transit,Other Special Craft,OTHER MARKETS
DELTA AUDREY,DEPARTURE,Port,LOS ANGELES,2021-11-17 12:38 UTC,11h 2m,Not in Transit,Tug,SUPPORTING VESSELS
PILOTBOAT WHITE,DEPARTURE,Port,LOS ANGELES,2021-11-17 12:25 UTC,9h 25m,Not in Transit,Pilot Boat,SUPPORTING VESSELS
ADMIRAL,DEPARTURE,Port,LOS ANGELES,2021-11-17 11:07 UTC,7h 21m,Not in Transit,Tug,SUPPORTING VESSELS
DR HANK KAPLAN,DEPARTURE,Port,LOS ANGELES,2021-11-17 10:49 UTC,9h 11m,Not in Transit,Tug,SUPPORTING VESSELS
MAKO,DEPARTURE,Port,LOS ANGELES,2021-11-17 09:04 UTC,6h 50m,Not in Transit,Other Special Craft,OTHER MARKETS
MILLENNIUM FALCON,DEPARTURE,Port,LOS ANGELES,2021-11-17 08:36 UTC,5h 17m,Not in Transit,Tug,SUPPORTING VESSELS
BROOKS M HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-17 02:51 UTC,8h 44m,Not in Transit,Other Special Craft,OTHER MARKETS
KAREN C,DEPARTURE,Port,LOS ANGELES,2021-11-17 02:00 UTC,11h 19m,Not in Transit,Tug,SUPPORTING VESSELS
ADMIRAL,DEPARTURE,Port,LOS ANGELES,2021-11-17 00:18 UTC,5h 38m,Not in Transit,Tug,SUPPORTING VESSELS
VIBRIO,DEPARTURE,Port,LOS ANGELES,2021-11-17 23:24 UTC,1d 8h 38m,Not in Transit,Other Special Craft,OTHER MARKETS
VICKI ANN,DEPARTURE,Port,LOS ANGELES,2021-11-17 23:24 UTC,1d 2h 30m,Not in Transit,Other Special Craft,OTHER MARKETS
NANCY P,DEPARTURE,Port,LOS ANGELES,2021-11-17 21:34 UTC,1d 4h 56m,Not in Transit,Oil/Chemical Tanker,WET BULK
DELTA TERESA,DEPARTURE,Port,LOS ANGELES,2021-11-17 21:29 UTC,19h 25m,Not in Transit,Other Special Craft,OTHER MARKETS
SERENDIPITER,DEPARTURE,Port,LOS ANGELES,2021-11-17 21:02 UTC,1d 2h 15m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
CHRISTY S,DEPARTURE,Port,LOS ANGELES,2021-11-17 20:35 UTC,18h 22m,Not in Transit,Other Passenger,PASSENGER SHIPS
BROOKS M HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-17 20:26 UTC,15h 50m,Not in Transit,Other Special Craft,OTHER MARKETS
V.A.POINT VICENTE,DEPARTURE,Port,LOS ANGELES,2021-11-17 19:48 UTC,1d 12h 27m,Not in Transit,Other Special Craft,OTHER MARKETS
GLADYS S,DEPARTURE,Port,LOS ANGELES,2021-11-17 19:23 UTC,1d 17h 43m,Not in Transit,Other Passenger,PASSENGER SHIPS
SUPER EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-17 18:08 UTC,1d 20h 48m,Not in Transit,High Speed Craft,PASSENGER SHIPS
CATALINA EXPRESS,DEPARTURE,Port,LOS ANGELES,2021-11-17 17:07 UTC,1d 14h 2m,Not in Transit,Passenger Vessel,PASSENGER SHIPS
JEFFREY M,DEPARTURE,Port,LOS ANGELES,2021-11-17 16:33 UTC,1d 17m,Not in Transit,Other Special Craft,OTHER MARKETS
LIBBY,DEPARTURE,Port,LOS ANGELES,2021-11-17 16:20 UTC,18h 31m,Not in Transit,Sailing Vessel,PLEASURE CRAFT
MISS CHRISTI,DEPARTURE,Port,LOS ANGELES,2021-11-17 16:14 UTC,15h 33m,Not in Transit,Other Special Craft,OTHER MARKETS
KENNETH CARL,DEPARTURE,Port,LOS ANGELES,2021-11-17 16:04 UTC,1d 16h 53m,Not in Transit,Pollution Control Vessel,SUPPORTING VESSELS
WARLOCK,DEPARTURE,Port,LOS ANGELES,2021-11-17 15:57 UTC,1d 19h 17m,Not in Transit,Sailing Vessel,PLEASURE CRAFT
J CREW,DEPARTURE,Port,LOS ANGELES,2021-11-17 15:52 UTC,17h 54m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
AUSSIE MADE,DEPARTURE,Port,LOS ANGELES,2021-11-17 15:31 UTC,1d 21h 45m,Not in Transit,Other Pleasure Craft,PLEASURE CRAFT
MADELINE B HAMILTON,DEPARTURE,Port,LOS ANGELES,2021-11-17 10:37 UTC,1d 2h 29m,Not in Transit,Other Special Craft,OTHER MARKETS
LAGUNA,DEPARTURE,Port,LOS ANGELES,2021-11-17 03:15 UTC,23h 38m,Not in Transit,Other Special Craft,OTHER MARKETS
JUPITER SPIRIT,DEPARTURE,Port,LOS ANGELES,2021-11-17 03:02 UTC,19h 50m,Not in Transit,Ro-Ro/Vehicles Carrier,RO/RO
SHAN HU HAI,DEPARTURE,Port,LOS ANGELES,2021-11-17 02:07 UTC,1d 5h 27m,Not in Transit,Bulk Carrier,DRY BULK
CATALINA PROVIDER,DEPARTURE,Port,LOS ANGELES,2021-11-17 00:22 UTC,16h 38m,Not in Transit,Other Cargo,DRY BREAKBULK
VALKYRIE,DEPARTURE,Port,LOS ANGELES,2021-11-17 22:36 UTC,18d 6h 24m,Not in Transit,Dredger,OTHER MARKETS
LAPPD BOAT 42,DEPARTURE,Port,LOS ANGELES,2021-11-17 22:25 UTC,18d 20h 58m,Not in Transit,Other Special Craft,OTHER MARKETS
FIREBOAT 3,DEPARTURE,Port,LOS ANGELES,2021-11-17 21:06 UTC,7d 8m,Not in Transit,Unspecified,OTHER MARKETS
WESTERN MAPLE,DEPARTURE,Port,LOS ANGELES,2021-11-17 20:59 UTC,2d 6h 48m,Not in Transit,Bulk Carrier,DRY BULK
GIANNA BETH,DEPARTURE,Port,LOS ANGELES,2021-11-17 19:06 UTC,9d 11h 32m,Not in Transit,Other Fishing,FISHING
MAGICIAN,DEPARTURE,Port,LOS ANGELES,2021-11-17 18:43 UTC,2d 16h 36m,Not in Transit,Other Passenger,PASSENGER SHIPS
JOHN HENRY,DEPARTURE,Port,LOS ANGELES,2021-11-17 13:52 UTC,6d 23h 34m,Not in Transit,Service Vessel,SUPPORTING VESSELS
YM TARGET,DEPARTURE,Port,LOS ANGELES,2021-11-17 13:49 UTC,18d 1h 22m,Not in Transit,Container Ship,CONTAINER SHIPS
