Vessel Name,Port Call Type,Port Type,Port At Call,Ata/atd11,Time At Port,In Transit Port Calls,Vessel Type - Detailed,Commercial Market
ZHETONGXIANGHUO05958,DEPARTURE,Port,SHANGHAI,2021-11-24 01:25 UTC,1h 26m,In Transit,Other Cargo,DRY BREAKBULK
JIE XIANG 06,DEPARTURE,Port,SHANGHAI,2021-11-24 01:21 UTC,1h 17m,In Transit,Other Cargo,DRY BREAKBULK
FEI YI 11,DEPARTURE,Port,SHANGHAI,2021-11-24 01:20 UTC,1h 49m,Not in Transit,High Speed Craft,PASSENGER SHIPS
YING ZHOU 9,DEPARTURE,Port,SHANGHAI,2021-11-24 01:17 UTC,1h 9m,Not in Transit,High Speed Craft,PASSENGER SHIPS
XIN LIN HAI 7,DEPARTURE,Port,SHANGHAI,2021-11-24 01:15 UTC,1h 35m,In Transit,Other Cargo,DRY BREAKBULK
SHENGYUN16,DEPARTURE,Port,SHANGHAI,2021-11-24 01:00 UTC,1h 20m,In Transit,Dredger,OTHER MARKETS
HAIXUN 01062,DEPARTURE,Port,SHANGHAI,2021-11-24 00:54 UTC,1h 39m,Not in Transit,Other Special Craft,OTHER MARKETS
HANG JIE 1206,DEPARTURE,Port,SHANGHAI,2021-11-24 00:54 UTC,1h 5m,In Transit,Dredger,OTHER MARKETS
WAN JIN FAN 2980,DEPARTURE,Port,SHANGHAI,2021-11-24 00:44 UTC,1h 22m,In Transit,Other Cargo,DRY BREAKBULK
DONG HAI LV ZHOU,DEPARTURE,Port,SHANGHAI,2021-11-24 00:40 UTC,1h 21m,Not in Transit,High Speed Craft,PASSENGER SHIPS
HUCHONGYUCE23102,DEPARTURE,Port,SHANGHAI,2021-11-24 00:39 UTC,1h ,In Transit,Other Fishing,FISHING
TONGDAJI00918,DEPARTURE,Port,SHANGHAI,2021-11-24 00:35 UTC,1h 4m,In Transit,Other Cargo,DRY BREAKBULK
HAO XIANG 39,DEPARTURE,Port,SHANGHAI,2021-11-24 23:55 UTC,2h 56m,In Transit,Other Cargo,DRY BREAKBULK
